Month,Domain,Metric,Region,Provider_Code,Provider_Name,Numerator,Denominator,%_Value,Rank,Rank_Region,Region_Size,Data_Date_Used,Notes_Flags
01/01/2025,A&E,4 hours,London,RYJ,Imperial College Healthcare NHS Trust,24149.16,30039.64,0.804,15,3,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RJZ,King's College Hospital NHS Foundation Trust,27091.6,34856.14,0.777,25,7,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RAX,Kingston and Richmond NHS Foundation Trust,11071,15055,0.735,55,13,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RJ2,Lewisham And Greenwich NHS Trust,17673.9,26487.11,0.667,96,18,18,01/01/2025,
01/01/2025,A&E,4 hours,London,R1K,London North West University Healthcare NHS Trust,21757,29379,0.741,52,12,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,5661,5778,0.98,1,1,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RAL,Royal Free London NHS Foundation Trust,30083,41017,0.733,59,14,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,9910,12655,0.783,21,5,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RAS,The Hillingdon Hospitals NHS Foundation Trust,8862,12551,0.706,76,17,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RRV,University College London Hospitals NHS Foundation Trust,12927.16,16431.14,0.787,19,4,18,01/01/2025,
01/01/2025,A&E,4 hours,London,RKE,Whittington Health NHS Trust,8780.68,11682.22,0.752,45,9,18,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RQ3,Birmingham Women's And Children's NHS Foundation Trust,6018.673,6762.673,0.89,4,1,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,13177.63,17079.75,0.772,28,6,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RLT,George Eliot Hospital NHS Trust,5878,8275,0.71,74,13,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,14826,18701,0.793,18,3,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RNS,Northampton General Hospital NHS Trust,8662,12780,0.678,90,14,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RX1,Nottingham University Hospitals NHS Trust,14231,22853,0.623,110,19,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RXK,Sandwell And West Birmingham Hospitals NHS Trust,18594,23903,0.778,23,4,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,10427,15962,0.653,103,16,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RXW,The Shrewsbury And Telford Hospital NHS Trust,9064,14702,0.617,113,20,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RJC,South Warwickshire University NHS Foundation Trust,5009,7829,0.64,107,18,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,10654,13698,0.778,23,4,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,17050,20871,0.817,9,2,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RWD,United Lincolnshire Teaching Hospitals NHS Trust,20067,27338,0.734,56,8,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,34829.327,48623.327,0.716,71,11,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RKB,University Hospitals Coventry And Warwickshire NHS Trust,13727,19263,0.713,72,12,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,24843.37,34065.25,0.729,63,9,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RWE,University Hospitals Of Leicester NHS Trust,30143,39412,0.765,32,7,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RJE,University Hospitals Of North Midlands NHS Trust,15332,23098,0.664,100,15,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RBK,Walsall Healthcare NHS Trust,9548,13127,0.727,66,10,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,10231,17440,0.587,120,21,21,01/01/2025,
01/01/2025,A&E,4 hours,Midlands,RLQ,Wye Valley NHS Trust,4436,6924,0.641,106,17,21,01/01/2025,
01/01/2025,A&E,4 hours,North East,RCF,Airedale NHS Foundation Trust,3826,6167,0.62,111,19,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,5224,8683,0.602,117,20,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,10470,12759,0.821,7,3,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RWY,Calderdale And Huddersfield NHS Foundation Trust,11813,16776,0.704,79,12,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RXP,County Durham And Darlington NHS Foundation Trust,18091,23341,0.775,27,5,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,11928,17076,0.699,82,14,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RR7,Gateshead Health NHS Foundation Trust,6425,9023,0.712,73,11,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RCD,Harrogate And District NHS Foundation Trust,4350,5978,0.728,65,9,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RWA,Hull University Teaching Hospitals NHS Trust,13593,19637,0.692,85,15,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,21363,28860,0.74,53,8,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RXF,Mid Yorkshire Teaching NHS Trust,14475,21075,0.687,87,16,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RNN,North Cumbria Integrated Care NHS Foundation Trust,6274,10440,0.601,118,21,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RVW,North Tees And Hartlepool NHS Foundation Trust,12464,15327,0.813,11,4,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RJL,Northern Lincolnshire And Goole NHS Foundation Trust,12355,17111,0.722,70,10,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,17581,20364,0.863,6,2,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,4478,4765,0.94,2,1,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,12941,18488,0.7,81,13,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,13051.5,17442.5,0.748,48,7,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,12521,19413,0.645,105,18,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,14428,19138,0.754,43,6,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RFR,The Rotherham NHS Foundation Trust,5113,8708,0.587,120,22,22,01/01/2025,
01/01/2025,A&E,4 hours,North East,RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,11918.5,17881.5,0.667,96,17,22,01/01/2025,
01/01/2025,A&E,4 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,9301.689381,10584.58274,0.879,5,2,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,14585,18777,0.777,25,4,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RMC,Bolton NHS Foundation Trust,7625,11559,0.66,102,14,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RJR,Countess Of Chester Hospital NHS Foundation Trust,4113,6939,0.593,119,17,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RJN,East Cheshire NHS Trust,2099,4148,0.506,123,19,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RXR,East Lancashire Hospitals NHS Trust,16271,22091,0.737,54,6,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,10399,15172,0.685,88,9,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,REM,Liverpool University Hospitals NHS Foundation Trust,21863.4821,28788.35936,0.759,40,5,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,REP,Liverpool Women's NHS Foundation Trust,1456,1611,0.904,3,1,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,R0A,Manchester University NHS Foundation Trust,28984,43081,0.673,91,10,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,5324,9394,0.567,122,18,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RM3,Northern Care Alliance NHS Foundation Trust,23095,34461,0.67,94,12,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,23296.32852,29625.0579,0.786,20,3,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RWJ,Stockport NHS Foundation Trust,5581,9215,0.606,115,16,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,8056,12069,0.667,96,13,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,9051,12422,0.729,63,8,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RWW,Warrington And Halton Teaching  Hospitals NHS Foundation Trust,7464.5,11110,0.672,92,11,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,11956,16292,0.734,56,7,19,01/01/2025,
01/01/2025,A&E,4 hours,North West,RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",7671,11740,0.653,103,15,19,01/01/2025,
01/01/2025,A&E,4 hours,South East,RTK,Ashford And St Peter's Hospitals NHS Foundation Trust,11377,14886,0.764,33,6,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,11562,15090,0.766,31,5,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RN7,Dartford And Gravesham NHS Trust,11422,14986,0.762,37,8,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RVV,East Kent Hospitals University NHS Foundation Trust,28623.05821,35333.26014,0.81,13,3,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RXC,East Sussex Healthcare NHS Trust,10728,14822,0.724,68,14,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RDU,Frimley Health NHS Foundation Trust,27105,36061,0.752,45,13,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RN5,Hampshire Hospitals NHS Foundation Trust,8246,13218,0.624,109,17,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,R1F,Isle Of Wight NHS Trust,4236,6067,0.698,83,15,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RWF,Maidstone And Tunbridge Wells NHS Trust,17900.15842,21915.02521,0.817,9,2,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RPA,Medway NHS Foundation Trust,16872.94179,20890.73986,0.808,14,4,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RTH,Oxford University Hospitals NHS Foundation Trust,15732.676,20906.668,0.753,44,12,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RHU,Portsmouth Hospitals University National Health Service Trust,18389,24088,0.763,34,7,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,15014.324,19762.332,0.76,39,10,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,6531,8603,0.759,40,11,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RTP,Surrey And Sussex Healthcare NHS Trust,16785.54419,20484.3291,0.819,8,1,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,15720,20618,0.762,37,8,17,01/01/2025,
01/01/2025,A&E,4 hours,South East,RYR,University Hospitals Sussex NHS Foundation Trust,24264.29739,34942.64569,0.694,84,16,17,01/01/2025,
01/01/2025,A&E,4 hours,South West,RBD,Dorset County Hospital NHS Foundation Trust,6016,8005,0.752,45,4,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RTE,Gloucestershire Hospitals NHS Foundation Trust,15503,20145,0.77,29,1,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RN3,Great Western Hospitals NHS Foundation Trust,8329.8,11023.4,0.756,42,3,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RVJ,North Bristol NHS Trust,7208.4,10618.8,0.679,89,11,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RK9,University Hospitals Plymouth NHS Trust,9086,13738,0.661,101,13,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,REF,Royal Cornwall Hospitals NHS Trust,12781,16669,0.767,30,2,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,13000,18526,0.702,80,9,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RD1,Royal United Hospitals Bath NHS Foundation Trust,6950.2,10082.6,0.689,86,10,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RNZ,Salisbury NHS Foundation Trust,4793,6545,0.732,61,7,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RH5,Somerset NHS Foundation Trust,15313,20849,0.734,56,5,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RA9,Torbay And South Devon NHS Foundation Trust,6147,9216,0.667,96,12,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,R0D,University Hospitals Dorset NHS Foundation Trust,12026,17022,0.706,76,8,13,01/01/2025,
01/01/2025,A&E,4 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,16589.6,22641.2,0.733,59,6,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,1390,15470,0.09,34,2,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RGT,Cambridge University Hospitals NHS Foundation Trust,1355,10060,0.135,67,7,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RWH,East and North Hertfordshire NHS Trust,1495,8685,0.172,98,13,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RDE,East Suffolk and North Essex NHS Foundation Trust,2235,13230,0.169,93,12,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RGP,James Paget University Hospitals NHS Foundation Trust,750,6660,0.113,50,5,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RAJ,Mid and South Essex NHS Foundation Trust,2655,22370,0.119,55,6,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,760,8405,0.09,34,2,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,860,12015,0.072,19,1,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RGN,North West Anglia NHS Foundation Trust,2025,14795,0.137,69,8,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RQW,The Princess Alexandra Hospital NHS Trust,1540,9450,0.163,89,11,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1000,6350,0.157,84,10,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RWG,West Hertfordshire Hospitals Teaching NHS Trust,840,8170,0.103,45,4,13,01/01/2025,
01/01/2025,A&E,>12 hours,East,RGR,West Suffolk NHS Foundation Trust,1100,7420,0.148,77,9,13,01/01/2025,
01/01/2025,A&E,>12 hours,London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2995,15865,0.189,108,18,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,R1H,Barts Health NHS Trust,4100,24595,0.167,91,14,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,980,12650,0.077,24,6,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RJ6,Croydon Health Services NHS Trust,1480,12960,0.114,52,8,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RVR,Epsom and St Helier University Hospitals NHS Trust,1495,11345,0.132,66,10,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RJ1,Guy's and St Thomas' NHS Foundation Trust,140,10435,0.013,6,2,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RQX,Homerton University Hospital NHS Foundation Trust,615,10915,0.056,13,4,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RYJ,Imperial College Healthcare NHS Trust,1335,15815,0.084,30,7,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RJZ,King's College Hospital NHS Foundation Trust,2590,15145,0.171,94,15,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RAX,Kingston Hospital NHS Foundation Trust,1010,7125,0.142,72,11,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RJ2,Lewisham and Greenwich NHS Trust,2255,15265,0.148,77,12,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,R1K,London North West University Healthcare NHS Trust,2565,13715,0.187,106,17,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,5465,0,1,1,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RAL,Royal Free London NHS Foundation Trust,3865,25520,0.151,81,13,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,905,11920,0.076,21,5,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RAS,The Hillingdon Hospitals NHS Foundation Trust,1060,5975,0.177,101,16,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RRV,University College London Hospitals NHS Foundation Trust,570,13000,0.044,11,3,18,01/01/2025,
01/01/2025,A&E,>12 hours,London,RKE,Whittington Health NHS Trust,865,6875,0.126,61,9,18,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,15,4710,0.003,4,1,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,760,6755,0.113,50,5,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RLT,George Eliot Hospital NHS Trust,885,6830,0.13,63,9,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,1430,9765,0.146,75,12,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RNS,Northampton General Hospital NHS Trust,1890,10735,0.176,100,17,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RX1,Nottingham University Hospitals NHS Trust,2460,17415,0.141,71,11,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,1560,12945,0.121,57,6,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,875,10370,0.084,30,2,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RJC,South Warwickshire NHS Foundation Trust,700,7490,0.093,37,3,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RNA,The Dudley Group NHS Foundation Trust,1095,8790,0.125,59,7,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RL4,The Royal Wolverhampton NHS Trust,1580,12690,0.125,59,7,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RXW,The Shrewsbury and Telford Hospital NHS Trust,0,0,,123,21,21,01/01/2025,Zero_Denominator
01/01/2025,A&E,>12 hours,Midlands,RWD,United Lincolnshire Hospitals NHS Trust,2280,10140,0.225,117,20,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,5205,33015,0.158,85,14,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RKB,University Hospitals Coventry and Warwickshire NHS Trust,2070,13135,0.158,85,14,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,2995,19485,0.154,82,13,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RWE,University Hospitals of Leicester NHS Trust,2990,22860,0.131,65,10,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RJE,University Hospitals of North Midlands NHS Trust,2575,14025,0.184,104,18,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RBK,Walsall Healthcare NHS Trust,905,9070,0.1,44,4,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,2630,12450,0.211,114,19,21,01/01/2025,
01/01/2025,A&E,>12 hours,Midlands,RLQ,Wye Valley NHS Trust,975,5655,0.172,98,16,21,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RCF,Airedale NHS Foundation Trust,590,5930,0.099,41,14,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,325,8680,0.037,10,4,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,890,11995,0.074,20,8,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RWY,Calderdale and Huddersfield NHS Foundation Trust,880,14530,0.061,16,6,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RXP,County Durham and Darlington NHS Foundation Trust,2295,13420,0.171,94,18,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,840,15285,0.055,12,5,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RR7,Gateshead Health NHS Foundation Trust,450,5890,0.076,21,9,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RCD,Harrogate and District NHS Foundation Trust,370,4740,0.078,26,10,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RWA,Hull University Teaching Hospitals NHS Trust,1595,9345,0.171,94,18,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,1945,18930,0.103,45,15,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RXF,Mid Yorkshire Hospitals NHS Trust,2665,15565,0.171,94,18,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RNN,North Cumbria Integrated Care NHS Foundation Trust,1240,8460,0.147,76,17,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,305,4805,0.063,17,7,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,1795,8665,0.207,113,21,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,150,9370,0.016,7,2,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,0,4765,0,1,1,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,865,10415,0.083,28,11,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,835,7205,0.116,54,16,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,1230,12725,0.097,39,13,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,420,14115,0.03,9,3,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RFR,The Rotherham NHS Foundation Trust,795,8705,0.091,36,12,22,01/01/2025,
01/01/2025,A&E,>12 hours,North East,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,2250,10235,0.22,116,22,22,01/01/2025,
01/01/2025,A&E,>12 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,15,5770,0.003,4,2,19,01/01/2025,
01/01/2025,A&E,>12 hours,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,1900,6420,0.296,122,19,19,01/01/2025,
01/01/2025,A&E,>12 hours,North West,RMC,Bolton NHS Foundation Trust,1085,7940,0.137,69,5,19,01/01/2025,
01/01/2025,A&E,>12 hours,North West,RJR,Countess of Chester Hospital NHS Foundation Trust,1355,4810,0.282,121,18,19,01/01/2025,
