Quarter,Domain,Metric,Region,Provider Code,Provider Name,Numerator,Denominator,% Value,Rank,Months Covered,Covered Months,Missing Months,Is Complete
Q4 (2024/25),A&E,4 hours,London,R1K,London North West University Healthcare NHS Trust,65832,86867,75.80%,46,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,40472,53434,75.70%,47,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RKE,Whittington Health NHS Trust,26068,34437,75.70%,47,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,66916,88540,75.60%,49,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,19822,26212,75.60%,49,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCD,Harrogate And District NHS Foundation Trust,13571,18016,75.30%,51,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWD,United Lincolnshire Teaching Hospitals NHS Trust,62477,83032,75.20%,52,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,63854,85017,75.10%,53,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,46259,62245,74.30%,54,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,REM,Liverpool University Hospitals NHS Foundation Trust,66060,89077,74.20%,55,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RVR,Epsom And St Helier University Hospitals NHS Trust,28407,38334,74.10%,56,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RTG,University Hospitals Of Derby And Burton NHS Foundation Trust,76619,103462,74.10%,56,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RWH,East And North Hertfordshire NHS Trust,40759,55158,73.90%,58,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAL,Royal Free London NHS Foundation Trust,90455,122518,73.80%,59,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RBK,Walsall Healthcare NHS Trust,29226,39603,73.80%,59,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGR,West Suffolk NHS Foundation Trust,18179,24621,73.80%,59,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RTX,University Hospitals Of Morecambe Bay NHS Foundation Trust,28367,38495,73.70%,62,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,51264,69679,73.60%,63,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,36127,49061,73.60%,63,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RDU,Frimley Health NHS Foundation Trust,77376,105306,73.50%,65,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,30134,41010,73.50%,65,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RN3,Great Western Hospitals NHS Foundation Trust,24145,32907,73.40%,67,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RTH,Oxford University Hospitals NHS Foundation Trust,45220,61680,73.30%,68,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RXC,East Sussex Healthcare NHS Trust,32537,44459,73.20%,69,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RJL,Northern Lincolnshire And Goole NHS Foundation Trust,38031,51930,73.20%,69,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RR7,Gateshead Health NHS Foundation Trust,19991,27333,73.10%,71,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RH5,Somerset NHS Foundation Trust,46140,63319,72.90%,72,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RAS,The Hillingdon Hospitals NHS Foundation Trust,27122,37288,72.70%,73,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RP5,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,37335,51576,72.40%,74,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,39354,54717,71.90%,75,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RRK,University Hospitals Birmingham NHS Foundation Trust,101882,142154,71.70%,76,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,R0D,University Hospitals Dorset NHS Foundation Trust,37180,52432,70.90%,77,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,R1H,Barts Health NHS Trust,91300,129377,70.60%,78,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RNZ,Salisbury NHS Foundation Trust,13941,19758,70.60%,78,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RKB,University Hospitals Coventry And Warwickshire NHS Trust,40955,58006,70.60%,78,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RYR,University Hospitals Sussex NHS Foundation Trust,74300,105532,70.40%,81,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGT,Cambridge University Hospitals NHS Foundation Trust,34592,49213,70.30%,82,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,R0A,Manchester University NHS Foundation Trust,90402,128576,70.30%,82,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,39630,56549,70.10%,84,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,34346,49201,69.80%,85,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,R1F,Isle Of Wight NHS Trust,12393,17893,69.30%,86,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,40763,58973,69.10%,87,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RLT,George Eliot Hospital NHS Trust,17165,24905,68.90%,88,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RXF,Mid Yorkshire Teaching NHS Trust,44615,65064,68.60%,89,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,30751,44874,68.50%,90,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RA9,Torbay And South Devon NHS Foundation Trust,19548,28527,68.50%,90,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RVJ,North Bristol NHS Trust,22593,33042,68.40%,92,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",24439,35741,68.40%,92,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RM3,Northern Care Alliance NHS Foundation Trust,69845,102363,68.20%,94,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RWA,Hull University Teaching Hospitals NHS Trust,40349,59273,68.10%,95,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCB,York And Scarborough Teaching Hospitals NHS Foundation Trust,38381,56391,68.10%,95,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RAJ,Mid and South Essex NHS Foundation Trust,70831,104167,68.00%,97,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RMP,Tameside And Glossop Integrated Care NHS Foundation Trust,23858,35297,67.60%,98,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RWW,Warrington And Halton Teaching  Hospitals NHS Foundation Trust,22864,33886,67.50%,99,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RMC,Bolton NHS Foundation Trust,23276,34551,67.40%,100,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,London,RJ2,Lewisham And Greenwich NHS Trust,52934,78705,67.30%,101,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RJC,South Warwickshire University NHS Foundation Trust,16233,24233,67.00%,102,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGN,North West Anglia NHS Foundation Trust,38267,57324,66.80%,103,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RNS,Northampton General Hospital NHS Trust,25565,38361,66.60%,104,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RWJ,Stockport NHS Foundation Trust,18923,28499,66.40%,105,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RQW,The Princess Alexandra Hospital NHS Trust,23209,35041,66.20%,106,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RK9,University Hospitals Plymouth NHS Trust,27614,41782,66.10%,107,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South West,RD1,Royal United Hospitals Bath NHS Foundation Trust,19545,29599,66.00%,108,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,17001,25871,65.70%,109,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RJE,University Hospitals Of North Midlands NHS Trust,45903,70369,65.20%,110,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,South East,RN5,Hampshire Hospitals NHS Foundation Trust,26518,41017,64.70%,111,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RLQ,Wye Valley NHS Trust,13532,21037,64.30%,112,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RWP,Worcestershire Acute Hospitals NHS Trust,34191,53712,63.70%,113,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RGP,James Paget University Hospitals NHS Foundation Trust,15648,24749,63.20%,114,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RNN,North Cumbria Integrated Care NHS Foundation Trust,20045,31994,62.70%,115,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RFR,The Rotherham NHS Foundation Trust,16501,26323,62.70%,115,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RX1,Nottingham University Hospitals NHS Trust,44194,70996,62.20%,117,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North East,RCF,Airedale NHS Foundation Trust,11514,18694,61.60%,118,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,Midlands,RXW,The Shrewsbury And Telford Hospital NHS Trust,28366,46123,61.50%,119,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RJR,Countess Of Chester Hospital NHS Foundation Trust,12721,21154,60.10%,120,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,East,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",13532,22599,59.90%,121,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,16848,28768,58.60%,122,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,4 hours,North West,RJN,East Cheshire NHS Trust,6468,12710,50.90%,123,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RXW,The Shrewsbury and Telford Hospital NHS Trust,0,0,,1,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,REP,Liverpool Women's NHS Foundation Trust,0,4350,0.00%,2,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RP6,Moorfields Eye Hospital NHS Foundation Trust,0,16260,0.00%,2,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RCU,Sheffield Children's NHS Foundation Trust,0,15040,0.00%,2,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,RBS,Alder Hey Children's NHS Foundation Trust,35,17785,0.20%,5,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,35,14645,0.20%,5,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTF,Northumbria Healthcare NHS Foundation Trust,335,28415,1.20%,7,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RJ1,Guy's and St Thomas' NHS Foundation Trust,445,31280,1.40%,8,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,940,43445,2.20%,9,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RHM,University Hospital Southampton NHS Foundation Trust,990,38520,2.60%,10,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RFF,Barnsley Hospital NHS Foundation Trust,720,25890,2.80%,11,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RVW,North Tees and Hartlepool NHS Foundation Trust,430,14370,3.00%,12,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RRV,University College London Hospitals NHS Foundation Trust,1445,39160,3.70%,13,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,1895,45990,4.10%,14,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RR7,Gateshead Health NHS Foundation Trust,730,17030,4.30%,15,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RWY,Calderdale and Huddersfield NHS Foundation Trust,1995,45015,4.40%,16,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RA2,Royal Surrey County Hospital NHS Foundation Trust,1010,21970,4.60%,17,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RCD,Harrogate and District NHS Foundation Trust,710,14310,5.00%,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RTH,Oxford University Hospitals NHS Foundation Trust,2040,40750,5.00%,18,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RHW,Royal Berkshire NHS Foundation Trust,2245,43200,5.20%,20,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,R0B,South Tyneside and Sunderland NHS Foundation Trust,1985,38190,5.20%,20,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RQX,Homerton University Hospital NHS Foundation Trust,1815,32080,5.70%,22,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RK5,Sherwood Forest Hospitals NHS Foundation Trust,1860,31900,5.80%,23,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RJC,South Warwickshire NHS Foundation Trust,1335,23165,5.80%,23,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RH8,Royal Devon University Healthcare NHS Foundation Trust,2330,38640,6.00%,25,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,1860,30485,6.10%,26,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RH5,Somerset NHS Foundation Trust,2220,35505,6.30%,27,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RFR,The Rotherham NHS Foundation Trust,1650,26315,6.30%,27,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RAE,Bradford Teaching Hospitals NHS Foundation Trust,1570,24420,6.40%,29,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,2315,35575,6.50%,30,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,2360,35745,6.60%,31,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,1360,20500,6.60%,31,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,3570,51690,6.90%,33,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RC9,Bedfordshire Hospitals NHS Foundation Trust,3305,47210,7.00%,34,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RXQ,Buckinghamshire Healthcare NHS Trust,2260,32285,7.00%,34,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,R0A,Manchester University NHS Foundation Trust,6675,94810,7.00%,34,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RTR,South Tees Hospitals NHS Foundation Trust,1480,21185,7.00%,34,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,R0D,University Hospitals Dorset NHS Foundation Trust,3145,42375,7.40%,38,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RD8,Milton Keynes University Hospital NHS Foundation Trust,1935,25675,7.50%,39,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RYJ,Imperial College Healthcare NHS Trust,3510,46200,7.60%,40,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,London,RJ7,St George's University Hospitals NHS Foundation Trust,2430,31810,7.60%,40,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RWF,Maidstone and Tunbridge Wells NHS Trust,3770,49030,7.70%,42,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South East,RN5,Hampshire Hospitals NHS Foundation Trust,2725,31595,8.60%,43,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RR8,Leeds Teaching Hospitals NHS Trust,5040,57015,8.80%,44,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,South West,RNZ,Salisbury NHS Foundation Trust,1215,13620,8.90%,45,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North West,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,2370,26355,9.00%,46,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,North East,RCF,Airedale NHS Foundation Trust,1670,18045,9.30%,47,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,Midlands,RBK,Walsall Healthcare NHS Trust,2475,26695,9.30%,47,3,"Jan, Feb, Mar",,Yes
Q4 (2024/25),A&E,>12 hours,East,RGR,West Suffolk NHS Foundation Trust,2060,22265,9.30%,47,3,"Jan, Feb, Mar",,Yes
